record_id,label,score_max,score_mean,score_q95
48,0,147.457370248064,114.33693736985259,135.30939542800922
49,0,153.84177562660085,119.37583100779693,149.26844957163541
50,0,124.36835590640327,88.7029997806512,113.79363329291085
51,0,145.30904613234995,114.72322757409985,142.8395777647606
52,0,105.15565673083535,91.72553087782919,102.82870179493223
53,0,183.04844607783545,115.57951285047537,161.9019180815788
54,0,203.90072081606723,142.56733201696733,199.9619817459844
55,0,134.41350298999743,106.80436411279918,131.28803151920215
56,0,126.11954065762157,94.8698292445889,114.53714410878047
57,0,141.55490638202883,118.7653276977868,140.108248197387
58,0,120.2409330461363,104.59361165860118,116.10574361625024
59,0,151.403312168983,118.05086080359355,146.7144648775027
60,0,151.86010861805545,110.13061848968842,149.74414235892374
61,0,113.55542569641909,87.33755978649096,104.50993894313913
62,0,131.53585895303172,95.28403131265425,119.25093547657171
63,0,113.60532814911708,87.9543362867977,112.70784765447938
64,0,163.56002870617982,121.5432794743753,155.99719534872278
65,0,195.12188913730964,145.47270606076003,182.85644606951908
66,0,174.50776003246767,142.24459709292543,168.08679812910097
67,0,116.6560547643694,94.80059362885632,108.98095671314928
68,1,51.64760739857599,42.61205918739222,49.59586730954832
69,1,91.71266932645749,72.59905510438115,91.55424923482171
70,1,78.76816775064503,60.84330083196215,76.1987508663815
71,1,65.5959360026139,54.392385355794886,64.62430959280753
72,1,68.92880059244995,56.15330580552001,64.40142660304964
73,1,99.06968695585576,75.84079573194205,96.63553569193367
74,1,68.86527494395236,54.48071844381641,67.76501269617451
75,1,83.7224939261451,65.60549708707265,82.62801033916809
76,1,99.10151620687319,69.6528860300759,92.02675254771611
77,1,58.060330315420686,46.7378162892059,56.25728457179207
78,1,44.49215979697226,35.800792463698606,41.83466799761132
79,1,118.60364195530968,95.02809589846507,115.56009947143957
80,1,64.77686184725397,54.709779482501986,61.45181659392759
81,1,52.136104784326065,37.95081186226068,48.19245987683661
82,1,52.91278870332042,45.00482345098658,52.741450878564784
83,1,79.60055869063731,54.11090780981697,72.34532881220352
84,1,72.50887774285205,58.64988329266848,63.851278830577535
85,1,104.3362083227266,68.99356072772913,94.4345848773523
86,1,87.5032571603941,74.43910467044616,85.06218232281057
87,1,99.34581849259142,76.56163577982785,93.84692479571508
